radio,mcc,net,area,cell,unit,lon,lat,range,samples,changeable,created,updated,averageSignal
GSM,649,1,113,11182,0,17.1013,-22.6052,1000,12,1,1371646920,1706679535,0
GSM,649,1,112,13131,0,16.7747,-18.4878,19395,20,1,1372284678,1735108164,0
GSM,649,1,112,11862,0,17.7315,-19.2663,6456,9,1,1372875880,1727065962,0
GSM,649,1,108,12771,0,15.9395,-17.8729,4136,6,1,1375647040,1716611955,0
GSM,649,1,106,12231,0,21.5525,-18.1048,5619,35,1,1378544717,1690257322,0
GSM,649,1,106,13572,0,20.9974,-17.9811,7759,19,1,1379583899,1691724790,0
GSM,649,1,106,12232,0,21.4499,-18.0628,6950,8,1,1381155839,1690257322,0
GSM,649,1,106,12230,0,21.5146,-18.0893,7852,19,1,1381155895,1690257322,0
GSM,649,1,106,13571,0,20.805,-18.0291,22496,11,1,1383052242,1691725735,0
GSM,649,1,123,12021,0,24.3012,-17.4963,4690,7,1,1387201142,1715229513,0
GSM,649,1,113,10071,0,17.0785,-22.5995,1218,7,1,1387902150,1726548417,0
GSM,649,1,106,12122,0,19.7615,-18.0276,13673,9,1,1390142226,1690331420,0
GSM,649,1,108,12421,0,15.9325,-17.8557,6234,12,1,1393398095,1735108143,0
GSM,649,1,113,14032,0,17.0827,-22.5843,1000,10,1,1395760708,1726548427,0
GSM,649,1,100,10021,0,17.0781,-22.5632,6965,47,1,1397492616,1700718107,0
GSM,649,1,122,16581,0,15.8993,-17.5246,9029,6,1,1402607826,1725601450,0
GSM,649,1,113,16092,0,17.0824,-22.6012,2456,10,1,1407649994,1702359400,0
GSM,649,1,112,12111,0,17.7093,-19.2266,9565,38,1,1409724680,1727065961,0
GSM,649,1,113,10413,0,17.0797,-22.6027,2226,33,1,1413646195,1726548413,0
GSM,649,1,113,16072,0,17.0862,-22.6074,1366,10,1,1413646552,1726548413,0
GSM,649,1,100,10221,0,17.0839,-22.5719,1000,22,1,1414998900,1726548401,0
GSM,649,1,123,12193,0,24.2902,-17.482,1555,13,1,1418832147,1691634041,0
GSM,649,1,123,16631,0,24.2933,-17.4819,1390,9,1,1418812348,1691634041,0
GSM,649,3,20111,10073,0,17.3131,-22.5354,19058,22,1,1436727557,1703309878,0
GSM,649,3,20111,10061,0,17.4714,-22.4901,4311,12,1,1440783741,1712119109,0
GSM,649,1,113,11053,0,17.0582,-22.5887,1546,9,1,1441176080,1700804341,0
GSM,649,1,100,11921,0,17.0876,-22.5735,1000,8,1,1458825817,1726548405,0
GSM,649,1,100,16081,0,17.0811,-22.5621,1000,4,1,1458825817,1700718106,0
GSM,649,1,100,15812,0,17.1088,-22.5739,2872,13,1,1458825817,1732781402,0
GSM,649,1,100,10151,0,17.1044,-22.5712,1000,7,1,1458825817,1732781402,0
GSM,649,1,100,11922,0,17.0908,-22.5817,1000,5,1,1458825817,1726548401,0
GSM,649,1,100,15813,0,17.1012,-22.5686,1000,9,1,1458825817,1732781402,0
GSM,649,1,100,10033,0,17.0827,-22.5628,1000,8,1,1458825817,1703309898,0
GSM,649,1,100,16083,0,17.0796,-22.5684,1036,14,1,1458825817,1700718107,0
GSM,649,1,100,10502,0,17.0848,-22.5674,1000,3,1,1458825817,1703309898,0
GSM,649,1,100,16063,0,17.0689,-22.5742,5288,12,1,1458825817,1702359522,0
GSM,649,1,100,10153,0,17.1017,-22.5722,1000,9,1,1458825817,1732781402,0
GSM,649,1,100,10032,0,17.1063,-22.5724,1565,17,1,1458825817,1736577786,0
GSM,649,1,100,10022,0,17.0805,-22.5686,1065,25,1,1458825817,1700718106,0
GSM,649,1,100,10031,0,17.0868,-22.5134,6783,8,1,1458825817,1730548184,0
GSM,649,1,100,14123,0,17.1157,-22.5775,1000,4,1,1449796536,1703309815,0
GSM,649,1,100,10222,0,17.0875,-22.5739,1000,10,1,1458825817,1726548405,0
GSM,649,1,102,12093,0,17.349,-19.6499,3386,6,1,1458825819,1693745387,0
GSM,649,1,100,16082,0,17.0842,-22.5672,1000,3,1,1458825817,1703309898,0
GSM,649,1,100,11923,0,17.0698,-22.5767,3188,9,1,1458825817,1726548401,0
GSM,649,1,100,10152,0,17.107,-22.5739,1000,8,1,1458825817,1730183961,0
GSM,649,1,100,14121,0,17.1169,-22.5773,1959,9,1,1458825817,1730183961,0
GSM,649,1,102,12091,0,17.3546,-19.6467,2985,4,1,1458825819,1693745387,0
GSM,649,1,102,15450,0,17.311,-19.6974,25219,6,1,1458825819,1693745387,0
GSM,649,1,103,16860,0,17.2006,-22.5513,2772,6,1,1458825821,1726548441,0
GSM,649,1,103,16603,0,16.9348,-22.0357,1000,3,1,1458825821,1703309879,0
GSM,649,1,103,14452,0,16.9159,-21.9945,2296,4,1,1458825820,1700804172,0
GSM,649,1,103,16602,0,16.9439,-22.064,6205,5,1,1458825821,1720070707,0
GSM,649,1,106,12332,0,19.576,-18.1065,12724,2,1,1432000056,1691802421,0
GSM,649,1,107,12651,0,16.2832,-18.1709,10500,9,1,1458825823,1727065935,0
GSM,649,1,106,16432,0,20.0995,-17.9405,2485,2,1,1431447152,1690264443,0
GSM,649,1,106,12221,0,20.7052,-18.0385,8962,8,1,1458825822,1691725735,0
GSM,649,1,106,15903,0,19.6818,-17.8708,6724,5,1,1458825822,1691798789,0
GSM,649,1,107,19921,0,16.4916,-18.2779,3822,3,1,1458825823,1725601409,0
GSM,649,1,107,19922,0,16.5291,-18.3329,14625,5,1,1458825823,1725601409,0
GSM,649,1,108,12061,0,15.8926,-17.4581,3810,10,1,1458825823,1725601453,0
GSM,649,1,107,13210,0,16.2678,-18.0947,3524,7,1,1458825823,1727065935,0
GSM,649,1,107,20331,0,16.1462,-18.0073,20587,5,1,1458825823,1727065935,0
GSM,649,1,107,20332,0,16.2543,-18.085,11564,8,1,1458825823,1727065935,0
GSM,649,1,107,20182,0,16.5831,-18.3622,1000,6,1,1458825823,1725601405,0
GSM,649,1,108,12782,0,16.0977,-17.9711,7998,6,1,1458825823,1716611962,0
GSM,649,1,108,13482,0,15.9901,-17.9185,1000,5,1,1458825823,1716611959,0
GSM,649,1,108,19973,0,15.8862,-17.4742,3532,7,1,1458825824,1693214625,0
